Date,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
2020-04-08,19,151,69,503,145,3873,160,145,290,96,49,25,186,41,116,153,206.0,69.0,88.0,26.0,31.0,151.0,60.0,152.0,30.0,237.0
2020-04-09,22,169,85,581,167,4156,169,155,332,115,61,31,222,45,133,168,230.0,81.0,104.0,27.0,39.0,166.0,63.0,181.0,39.0,246.0
2020-04-10,32,210,88,648,188,4514,178,170,360,124,71,32,234,49,143,183,249.0,88.0,119.0,31.0,45.0,175.0,67.0,192.0,43.0,263.0
2020-04-11,38,222,98,730,225,5006,197,200,404,136,88,32,252,56,195,194,289.0,95.0,133.0,39.0,45.0,200.0,73.0,213.0,52.0,272.0
2020-04-12,44,245,106,780,264,5438,220,219,443,144,101,36,265,58,208,198,342.0,123.0,144.0,48.0,52.0,219.0,81.0,234.0,56.0,317.0
2020-04-13,53,254,113,829,296,5850,237,226,509,164,118,40,285,69,236,216,369.0,147.0,150.0,50.0,62.0,237.0,90.0,258.0,61.0,342.0
2020-04-14,59,310,119,916,320,6337,260,246,567,173,133,43,307,77,350,249,405.0,161.0,163.0,57.0,66.0,251.0,101.0,309.0,71.0,375.0
2020-04-15,59,345,136,945,352,6567,266,254,621,179,139,46,343,79,384,259,421.0,166.0,171.0,61.0,69.0,270.0,102.0,318.0,76.0,384.0
2020-04-16,69,353,151,979,369,6934,273,256,684,188,147,46,382,83,406,273,461.0,170.0,177.0,74.0,70.0,283.0,110.0,332.0,85.0,391.0
2020-04-17,71,386,153,1028,376,7379,283,262,763,197,168,47,384,88,405,312,500.0,174.0,187.0,76.0,76.0,292.0,112.0,358.0,98.0,437.0
2020-04-18,78,401,160,1047,383,7666,294,268,817,206,170,49,401,91,437,332,513.0,187.0,190.0,91.0,78.0,300.0,113.0,369.0,100.0,444.0
2020-04-19,79,403,164,1053,392,7781,294,268,822,210,177,54,409,94,469,335,522.0,199.0,195.0,91.0,93.0,306.0,117.0,377.0,114.0,446.0
2020-04-20,80,430,165,1077,416,7905,309,268,851,216,185,55,415,101,489,339,539.0,220.0,198.0,91.0,97.0,320.0,119.0,386.0,137.0,463.0
2020-04-21,84,466,187,1087,431,8216,315,271,875,222,192,56,420,102,506,365,550.0,249.0,205.0,92.0,98.0,327.0,122.0,395.0,137.0,469.0
2020-04-22,86,506,206,1096,440,8729,331,271,954,227,202,62,439,102,536,391,568.0,318.0,217.0,111.0,105.0,343.0,122.0,409.0,143.0,506.0
2020-04-23,88,536,207,1103,437,9010,332,276,1003,229,204,62,441,113,590,395,578.0,327.0,222.0,114.0,104.0,345.0,129.0,421.0,151.0,558.0
2020-04-24,91,574,209,1110,446,9224,332,277,1028,230,205,64,442,124,597,435,613.0,350.0,225.0,116.0,104.0,346.0,135.0,437.0,156.0,561.0
2020-04-25,92,609,212,1125,452,9532,335,288,1127,233,205,66,457,129,627,464,626.0,373.0,228.0,135.0,114.0,364.0,137.0,446.0,162.0,557.0
2020-04-26,93,627,229,1126,453,9624,332,288,1147,233,212,67,518,135,640,466,638.0,385.0,236.0,141.0,117.0,370.0,138.0,448.0,162.0,558.0
2020-04-27,95,634,232,1136,454,9751,351,292,1162,236,216,67,532,145,652,478,661.0,388.0,264.0,148.0,116.0,389.0,137.0,461.0,162.0,564.0
2020-04-28,95,634,232,1146,456,9967,355,292,1193,242,218,68,535,146,655,483,671.0,393.0,282.0,150.0,116.0,415.0,137.0,474.0,167.0,589.0
2020-04-29,100,644,236,1154,458,10170,355,293,1215,250,224,68,548,149,659,485,681.0,399.0,284.0,151.0,116.0,468.0,138.0,487.0,179.0,599.0
2020-04-30,100,656,237,1156,459,10277,357,294,1226,254,230,68,564,150,667,488,687.0,403.0,293.0,160.0,118.0,473.0,138.0,500.0,183.0,604.0
2020-05-01,126,673,240,1164,461,10406,365,295,1242,258,234,67,580,153,673,494,699.0,409.0,305.0,174.0,117.0,478.0,139.0,509.0,185.0,618.0
2020-05-02,127,682,245,1175,465,10561,365,298,1268,259,237,70,583,213,679,501,713.0,423.0,314.0,174.0,119.0,479.0,140.0,540.0,185.0,622.0
2020-05-03,127,694,249,1177,466,10670,369,301,1280,258,238,70,585,235,685,510,717.0,429.0,317.0,181.0,120.0,486.0,139.0,547.0,184.0,625.0
2020-05-04,132,709,254,1192,467,10734,375,302,1289,259,240,70,591,257,693,512,722.0,432.0,339.0,212.0,121.0,501.0,139.0,554.0,184.0,628.0
2020-05-05,132,710,281,1197,469,10840,380,302,1302,265,243,70,574,259,699,514,723.0,441.0,346.0,221.0,122.0,506.0,140.0,627.0,190.0,633.0
2020-05-06,133,730,299,1199,469,10885,381,303,1312,265,242,66,566,260,703,518,727.0,443.0,345.0,228.0,116.0,512.0,140.0,633.0,190.0,636.0
2020-05-07,136,748,303,1205,469,10948,382,303,1317,271,247,66,570,264,715,522,754.0,447.0,349.0,234.0,116.0,515.0,143.0,640.0,194.0,637.0
2020-05-08,139,752,303,1207,469,11068,388,303,1324,277,247,66,572,264,721,522,758.0,447.0,350.0,235.0,116.0,517.0,143.0,641.0,199.0,643.0
2020-05-09,141,753,305,1232,472,11175,392,303,1331,280,248,74,582,267,730,522,760.0,449.0,351.0,247.0,123.0,523.0,143.0,643.0,202.0,646.0
2020-05-10,141,757,306,1234,474,11235,400,305,1337,284,249,74,588,269,733,537,769.0,454.0,358.0,297.0,127.0,524.0,143.0,643.0,202.0,649.0
2020-05-11,143,765,308,1238,472,11242,402,305,1344,291,249,75,588,270,735,538,769.0,458.0,360.0,298.0,128.0,524.0,144.0,645.0,206.0,647.0
2020-05-12,143,767,308,1249,473,11308,405,305,1348,292,249,77,591,272,734,541,770.0,464.0,362.0,298.0,128.0,524.0,144.0,648.0,208.0,651.0
2020-05-13,144,774,312,1256,473,11557,408,306,1352,293,251,77,595,273,740,542,773.0,467.0,435.0,299.0,128.0,516.0,144.0,652.0,208.0,652.0
2020-05-14,144,776,314,1346,474,11557,412,307,1357,295,251,79,596,273,741,542,776.0,468.0,455.0,300.0,129.0,521.0,144.0,654.0,211.0,657.0
2020-05-15,146,781,314,1352,475,11666,418,307,1361,298,253,79,601,277,739,547,778.0,480.0,459.0,301.0,129.0,523.0,146.0,655.0,212.0,656.0
2020-05-16,147,788,315,1361,475,11693,432,307,1367,300,253,79,602,279,740,552,780.0,480.0,459.0,304.0,129.0,524.0,147.0,654.0,212.0,657.0
2020-05-17,148,800,315,1372,477,11759,438,308,1379,302,254,80,603,279,743,556,782.0,485.0,461.0,307.0,129.0,525.0,147.0,656.0,212.0,659.0
2020-05-18,149,802,315,1376,477,11733,445,308,1379,307,254,82,610,279,745,558,787.0,485.0,468.0,308.0,129.0,528.0,148.0,658.0,217.0,657.0
2020-05-19,150,804,315,1386,479,11765,445,308,1381,307,256,82,612,280,748,560,788.0,488.0,472.0,310.0,129.0,529.0,148.0,658.0,217.0,657.0
2020-05-20,151,804,319,1398,478,11794,451,308,1383,316,256,82,615,280,751,560,790.0,489.0,473.0,312.0,129.0,529.0,148.0,661.0,217.0,657.0
2020-05-21,151,815,319,1420,478,11830,455,308,1387,319,256,82,615,280,756,564,795.0,489.0,475.0,314.0,129.0,528.0,149.0,661.0,217.0,659.0
2020-05-22,152,824,321,1428,478,11873,458,308,1392,334,256,82,616,280,756,568,797.0,501.0,478.0,318.0,129.0,528.0,151.0,663.0,217.0,661.0
2020-05-23,152,825,322,1438,478,11876,461,308,1390,334,256,82,619,281,759,568,797.0,501.0,478.0,319.0,129.0,528.0,151.0,663.0,217.0,661.0
2020-05-24,152,827,322,1440,478,11894,461,308,1395,334,257,82,622,281,759,568,797.0,503.0,479.0,319.0,129.0,528.0,151.0,663.0,217.0,663.0
2020-05-25,152,829,322,1451,478,11961,464,308,1408,336,258,82,624,281,759,568,797.0,503.0,479.0,319.0,129.0,528.0,151.0,664.0,216.0,663.0
2020-05-26,154,833,322,1458,477,11996,473,308,1414,337,258,83,626,281,759,569,793.0,504.0,478.0,320.0,129.0,528.0,151.0,665.0,216.0,663.0
2020-05-27,155,833,322,1464,477,12023,476,308,1416,337,258,83,627,280,759,569,793.0,504.0,478.0,320.0,129.0,528.0,152.0,667.0,216.0,663.0
