X,Y,Date,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths,StatisticsProfileDate,CovidCasesConfirmed,HospitalisedCovidCases,RequiringICUCovidCases,HealthcareWorkersCovidCases,ClustersNotified,HospitalisedAged5,HospitalisedAged5to14,HospitalisedAged15to24,HospitalisedAged25to34,HospitalisedAged35to44,HospitalisedAged45to54,HospitalisedAged55to64,HospitalisedAged65up,Male,Female,Unknown,Aged1,Aged1to4,Aged5to14,Aged15to24,Aged25to34,Aged35to44,Aged45to54,Aged55to64,Aged65up,Median_Age,CommunityTransmission,CloseContact,TravelAbroad,FID
-856335.869598373,7036492.39571864,2020-05-14,426,23827,10,1506,2020-05-12,23259.0,3053.0,387.0,7123.0,766.0,18.0,17.0,68.0,182.0,240.0,409.0,442.0,1675.0,9853.0,13338.0,68.0,43.0,82.0,266.0,1641.0,3822.0,4024.0,4203.0,3029.0,6124.0,48.0,60.0,37.0,3.0,74
-856335.869598373,7036492.39571864,2020-05-15,129,23956,16,1518,2020-05-13,23627.0,3062.0,387.0,7427.0,781.0,18.0,17.0,68.0,184.0,242.0,409.0,442.0,1680.0,10019.0,13559.0,49.0,43.0,85.0,266.0,1688.0,3936.0,4105.0,4276.0,3066.0,2138.0,48.0,61.0,37.0,2.0,75
-856335.869598373,7036492.39571864,2020-05-16,92,24048,15,1533,2020-05-14,23779.0,3094.0,389.0,7530.0,784.0,18.0,17.0,68.0,186.0,247.0,415.0,449.0,1692.0,10189.0,13681.0,49.0,43.0,85.0,267.0,1705.0,3995.0,4181.0,4316.0,3096.0,6167.0,48.0,60.0,37.0,3.0,76
-856335.869598373,7036492.39571864,2020-05-17,64,24112,10,1543,2020-05-15,23953.0,3117.0,389.0,7566.0,800.0,19.0,17.0,70.0,187.0,247.0,420.0,453.0,1712.0,10195.0,13709.0,49.0,43.0,87.0,270.0,1714.0,4015.0,4201.0,4329.0,3099.0,6171.0,48.0,60.0,37.0,3.0,77
-856335.869598373,7036492.39571864,2020-05-18,88,24200,4,1547,2020-05-16,24036.0,3127.0,391.0,7615.0,805.0,19.0,17.0,70.0,187.0,247.0,421.0,457.0,1707.0,10229.0,13768.0,39.0,44.0,88.0,270.0,1721.0,4043.0,4217.0,4339.0,3103.0,6187.0,48.0,60.0,37.0,3.0,78
-856335.869598373,7036492.39571864,2020-05-19,51,24251,16,1561,2020-05-17,24176.0,3143.0,390.0,7661.0,806.0,19.0,17.0,70.0,188.0,248.0,422.0,463.0,1714.0,10296.0,13841.0,39.0,44.0,90.0,275.0,1744.0,4066.0,4249.0,4357.0,3119.0,6208.0,48.0,60.0,37.0,3.0,79
-856335.869598373,7036492.39571864,2020-05-20,64,24315,11,1571,2020-05-18,24204.0,3164.0,393.0,7708.0,810.0,19.0,17.0,70.0,188.0,247.0,425.0,470.0,1725.0,10307.0,13859.0,38.0,44.0,91.0,277.0,1750.0,4069.0,4260.0,4361.0,3122.0,6206.0,48.0,60.0,38.0,2.0,80
-856335.869598373,7036492.39571864,2020-05-21,76,24391,12,1583,2020-05-19,24274.0,3183.0,392.0,7747.0,814.0,19.0,17.0,70.0,189.0,247.0,428.0,473.0,1737.0,10337.0,13899.0,38.0,44.0,93.0,278.0,1760.0,4083.0,4272.0,4371.0,3127.0,6222.0,48.0,60.0,38.0,2.0,81
-856335.869598373,7036492.39571864,2020-05-22,115,24506,11,1592,2020-05-20,24351.0,3194.0,393.0,7791.0,823.0,19.0,17.0,70.0,190.0,247.0,429.0,474.0,1745.0,10375.0,13936.0,40.0,44.0,93.0,281.0,1763.0,4093.0,4288.0,4380.0,3139.0,6246.0,48.0,60.0,38.0,2.0,82
-856335.869598373,7036492.39571864,2020-05-23,76,24582,13,1604,2020-05-21,24451.0,3211.0,393.0,7813.0,829.0,19.0,17.0,70.0,191.0,247.0,429.0,476.0,1759.0,10418.0,13996.0,37.0,44.0,97.0,288.0,1769.0,4112.0,4306.0,4401.0,3145.0,6265.0,48.0,60.0,38.0,2.0,83
-856335.869598373,7036492.39571864,2020-05-24,57,24639,4,1608,2020-05-22,24569.0,3222.0,394.0,7819.0,844.0,19.0,17.0,71.0,193.0,248.0,430.0,478.0,1763.0,10468.0,14064.0,37.0,44.0,101.0,291.0,1792.0,4135.0,4326.0,4415.0,3158.0,6283.0,48.0,59.0,38.0,3.0,84
-856335.869598373,7036492.39571864,2020-05-25,59,24698,0,1606,2020-05-23,24593.0,3225.0,394.0,7842.0,846.0,19.0,17.0,71.0,193.0,249.0,430.0,477.0,1766.0,10484.0,14070.0,39.0,45.0,101.0,292.0,1797.0,4138.0,4335.0,4418.0,3158.0,6284.0,48.0,59.0,38.0,3.0,85
-856335.869598373,7036492.39571864,2020-05-26,37,24735,9,1615,2020-05-24,24629.0,3233.0,395.0,7852.0,846.0,19.0,17.0,71.0,193.0,249.0,432.0,478.0,1771.0,10510.0,14081.0,38.0,45.0,102.0,294.0,1802.0,4139.0,4337.0,4428.0,3163.0,6294.0,48.0,59.0,38.0,3.0,86
-856335.869598373,7036492.39571864,2020-05-27,73,24803,17,1631,2020-05-25,24730.0,3251.0,399.0,7891.0,846.0,19.0,17.0,71.0,196.0,249.0,433.0,479.0,1784.0,10548.0,14145.0,37.0,45.0,103.0,297.0,1810.0,4162.0,4349.0,4444.0,3180.0,6315.0,48.0,40.0,58.0,2.0,87
-856335.869598373,7036492.39571864,2020-05-28,46,24841,9,1639,2020-05-26,24795.0,3267.0,404.0,7920.0,850.0,19.0,17.0,71.0,196.0,251.0,437.0,481.0,1792.0,10575.0,14186.0,34.0,45.0,105.0,304.0,1818.0,4168.0,4362.0,4454.0,3186.0,6329.0,48.0,40.0,58.0,2.0,88
-856335.869598373,7036492.39571864,2020-05-29,39,24876,6,1645,2020-05-27,24837.0,3270.0,404.0,7943.0,856.0,19.0,17.0,72.0,197.0,252.0,439.0,480.0,1792.0,10589.0,14214.0,34.0,45.0,106.0,305.0,1822.0,4176.0,4369.0,4463.0,3190.0,6337.0,48.0,40.0,58.0,2.0,89
-856335.869598373,7036492.39571864,2020-05-30,59,24929,9,1651,2020-05-28,24870.0,3279.0,408.0,7955.0,861.0,19.0,17.0,72.0,197.0,255.0,439.0,480.0,1797.0,10601.0,14235.0,34.0,46.0,107.0,307.0,1822.0,4177.0,4373.0,4471.0,3195.0,6349.0,48.0,40.0,58.0,2.0,90
-856335.869598373,7036492.39571864,2020-05-31,66,24990,2,1652,2020-05-29,24924.0,3283.0,408.0,7963.0,866.0,19.0,17.0,72.0,198.0,254.0,440.0,481.0,1799.0,10621.0,14269.0,34.0,46.0,107.0,309.0,1824.0,4185.0,4385.0,4476.0,3197.0,6372.0,48.0,39.0,59.0,2.0,91
