Date,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
2020-04-10,0.056,0.276,0.074,0.119,0.118,0.335,0.069,0.115,0.162,0.125,0.084,0.1,0.12,0.12,0.111,0.14,0.128,0.143,0.153,0.048,0.069,0.11,0.058,0.216,0.029,0.185
2020-04-11,0.067,0.291,0.082,0.134,0.141,0.372,0.076,0.135,0.182,0.137,0.104,0.1,0.129,0.137,0.151,0.149,0.148,0.155,0.171,0.06,0.069,0.125,0.063,0.24,0.035,0.191
2020-04-12,0.077,0.322,0.089,0.144,0.166,0.404,0.085,0.148,0.199,0.145,0.119,0.112,0.136,0.142,0.161,0.152,0.175,0.2,0.185,0.074,0.079,0.137,0.07,0.264,0.037,0.223
2020-04-13,0.093,0.333,0.095,0.153,0.186,0.434,0.092,0.153,0.229,0.165,0.139,0.125,0.146,0.169,0.183,0.166,0.189,0.239,0.192,0.077,0.095,0.149,0.077,0.291,0.041,0.24
2020-04-14,0.104,0.407,0.1,0.169,0.201,0.47,0.101,0.167,0.255,0.174,0.157,0.134,0.158,0.188,0.272,0.191,0.208,0.262,0.209,0.088,0.101,0.157,0.087,0.348,0.047,0.263
2020-04-15,0.104,0.453,0.114,0.174,0.221,0.487,0.103,0.172,0.279,0.18,0.164,0.144,0.176,0.193,0.298,0.198,0.216,0.27,0.219,0.095,0.105,0.169,0.088,0.358,0.051,0.27
2020-04-16,0.121,0.463,0.127,0.18,0.232,0.515,0.106,0.173,0.307,0.189,0.174,0.144,0.196,0.203,0.298,0.209,0.236,0.277,0.227,0.115,0.107,0.177,0.095,0.374,0.057,0.275
2020-04-17,0.125,0.507,0.129,0.189,0.236,0.548,0.11,0.177,0.343,0.199,0.198,0.147,0.197,0.215,0.314,0.239,0.256,0.283,0.24,0.118,0.116,0.183,0.096,0.403,0.065,0.307
2020-04-18,0.137,0.526,0.135,0.193,0.241,0.569,0.114,0.181,0.367,0.208,0.201,0.153,0.206,0.223,0.339,0.254,0.263,0.305,0.244,0.141,0.119,0.188,0.097,0.416,0.067,0.312
2020-04-19,0.139,0.529,0.138,0.194,0.246,0.578,0.114,0.181,0.369,0.212,0.209,0.169,0.21,0.23,0.364,0.257,0.268,0.324,0.25,0.141,0.142,0.192,0.101,0.425,0.076,0.313
2020-04-20,0.141,0.564,0.139,0.198,0.261,0.587,0.12,0.181,0.382,0.218,0.218,0.172,0.213,0.247,0.379,0.26,0.276,0.358,0.254,0.141,0.148,0.201,0.102,0.435,0.092,0.325
2020-04-21,0.148,0.612,0.157,0.2,0.271,0.61,0.122,0.183,0.393,0.224,0.227,0.175,0.215,0.25,0.393,0.28,0.282,0.406,0.263,0.143,0.15,0.205,0.105,0.445,0.092,0.329
2020-04-22,0.151,0.664,0.173,0.202,0.271,0.648,0.128,0.183,0.429,0.229,0.238,0.193,0.225,0.25,0.416,0.3,0.291,0.518,0.278,0.172,0.15,0.215,0.105,0.461,0.096,0.355
2020-04-23,0.155,0.704,0.174,0.203,0.275,0.669,0.129,0.187,0.451,0.231,0.241,0.193,0.226,0.276,0.458,0.303,0.296,0.533,0.285,0.177,0.159,0.216,0.111,0.474,0.101,0.392
2020-04-24,0.16,0.754,0.176,0.204,0.28,0.685,0.129,0.188,0.462,0.232,0.242,0.2,0.227,0.303,0.463,0.333,0.314,0.57,0.289,0.18,0.159,0.217,0.116,0.492,0.104,0.392
2020-04-25,0.162,0.799,0.178,0.207,0.284,0.707,0.129,0.195,0.507,0.235,0.242,0.206,0.234,0.316,0.486,0.356,0.321,0.608,0.292,0.209,0.174,0.228,0.118,0.502,0.108,0.391
2020-04-26,0.163,0.823,0.193,0.207,0.285,0.714,0.129,0.195,0.515,0.235,0.25,0.209,0.266,0.33,0.497,0.357,0.327,0.627,0.303,0.218,0.174,0.232,0.118,0.505,0.108,0.392
2020-04-27,0.167,0.832,0.195,0.209,0.285,0.724,0.136,0.198,0.522,0.238,0.255,0.209,0.273,0.355,0.506,0.366,0.339,0.632,0.339,0.229,0.177,0.244,0.118,0.519,0.108,0.396
2020-04-28,0.167,0.832,0.195,0.211,0.286,0.74,0.138,0.198,0.536,0.244,0.257,0.212,0.275,0.357,0.508,0.37,0.344,0.64,0.362,0.232,0.177,0.26,0.118,0.534,0.112,0.414
2020-04-29,0.176,0.845,0.199,0.213,0.288,0.755,0.138,0.198,0.546,0.252,0.264,0.212,0.281,0.365,0.511,0.372,0.349,0.65,0.364,0.234,0.177,0.293,0.119,0.549,0.12,0.421
2020-04-30,0.176,0.861,0.199,0.213,0.288,0.763,0.138,0.199,0.551,0.256,0.272,0.212,0.289,0.367,0.518,0.374,0.352,0.657,0.376,0.248,0.177,0.296,0.119,0.563,0.122,0.424
2020-05-01,0.221,0.883,0.202,0.214,0.29,0.772,0.141,0.2,0.558,0.26,0.276,0.209,0.298,0.374,0.522,0.379,0.358,0.666,0.391,0.27,0.179,0.3,0.12,0.573,0.124,0.434
2020-05-02,0.223,0.895,0.206,0.216,0.292,0.784,0.141,0.202,0.57,0.26,0.28,0.218,0.299,0.521,0.527,0.384,0.366,0.689,0.403,0.27,0.182,0.3,0.12,0.608,0.124,0.437
2020-05-03,0.223,0.911,0.21,0.217,0.293,0.792,0.143,0.204,0.575,0.26,0.281,0.218,0.3,0.575,0.531,0.391,0.368,0.699,0.407,0.28,0.183,0.305,0.12,0.616,0.123,0.439
2020-05-04,0.232,0.931,0.214,0.22,0.293,0.797,0.145,0.204,0.579,0.261,0.283,0.218,0.3,0.629,0.538,0.392,0.37,0.704,0.435,0.328,0.185,0.314,0.12,0.624,0.123,0.441
2020-05-05,0.232,0.932,0.236,0.22,0.295,0.805,0.147,0.204,0.585,0.267,0.283,0.218,0.295,0.634,0.542,0.394,0.371,0.718,0.435,0.342,0.185,0.317,0.121,0.706,0.127,0.444
2020-05-06,0.234,0.958,0.252,0.221,0.295,0.808,0.148,0.205,0.59,0.267,0.286,0.206,0.29,0.636,0.545,0.397,0.373,0.722,0.443,0.353,0.177,0.321,0.121,0.713,0.127,0.447
2020-05-07,0.239,0.982,0.255,0.222,0.295,0.813,0.148,0.205,0.592,0.273,0.292,0.206,0.292,0.646,0.555,0.4,0.387,0.728,0.448,0.363,0.177,0.323,0.123,0.721,0.13,0.447
2020-05-08,0.244,0.987,0.255,0.222,0.295,0.821,0.15,0.205,0.595,0.279,0.292,0.206,0.293,0.646,0.559,0.4,0.389,0.728,0.449,0.364,0.177,0.324,0.123,0.722,0.133,0.451
2020-05-09,0.248,0.989,0.257,0.227,0.296,0.829,0.152,0.205,0.598,0.282,0.293,0.231,0.299,0.653,0.566,0.4,0.39,0.731,0.45,0.383,0.188,0.328,0.123,0.724,0.135,0.454
2020-05-10,0.248,0.994,0.258,0.227,0.296,0.834,0.155,0.206,0.601,0.286,0.294,0.231,0.302,0.658,0.569,0.411,0.394,0.74,0.459,0.46,0.194,0.328,0.123,0.724,0.135,0.454
2020-05-11,0.251,1.004,0.259,0.228,0.296,0.834,0.156,0.206,0.604,0.293,0.294,0.234,0.302,0.661,0.569,0.412,0.394,0.746,0.462,0.462,0.195,0.328,0.124,0.727,0.138,0.454
2020-05-12,0.251,1.007,0.259,0.23,0.297,0.839,0.157,0.206,0.606,0.294,0.294,0.24,0.303,0.665,0.57,0.415,0.395,0.756,0.464,0.462,0.195,0.328,0.124,0.73,0.139,0.457
2020-05-13,0.253,1.016,0.263,0.231,0.297,0.858,0.158,0.207,0.608,0.295,0.296,0.24,0.305,0.668,0.574,0.415,0.396,0.761,0.558,0.463,0.195,0.323,0.124,0.734,0.139,0.458
2020-05-14,0.253,1.019,0.264,0.248,0.298,0.858,0.16,0.208,0.61,0.297,0.296,0.247,0.306,0.668,0.574,0.415,0.398,0.762,0.584,0.465,0.197,0.327,0.124,0.737,0.141,0.458
2020-05-15,0.256,1.025,0.264,0.249,0.298,0.866,0.162,0.208,0.612,0.3,0.299,0.247,0.308,0.678,0.573,0.419,0.399,0.782,0.589,0.466,0.197,0.328,0.126,0.737,0.142,0.461
2020-05-16,0.258,1.034,0.265,0.251,0.298,0.868,0.167,0.208,0.614,0.302,0.299,0.247,0.309,0.683,0.574,0.423,0.4,0.782,0.589,0.471,0.197,0.328,0.127,0.737,0.142,0.461
2020-05-17,0.26,1.05,0.265,0.253,0.3,0.868,0.17,0.209,0.62,0.304,0.3,0.25,0.309,0.683,0.576,0.426,0.401,0.79,0.591,0.476,0.197,0.329,0.127,0.739,0.142,0.461
2020-05-18,0.262,1.053,0.265,0.253,0.3,0.871,0.172,0.209,0.62,0.309,0.3,0.256,0.313,0.683,0.578,0.428,0.403,0.79,0.6,0.477,0.197,0.331,0.127,0.741,0.145,0.461
2020-05-19,0.263,1.055,0.265,0.255,0.3,0.873,0.172,0.209,0.621,0.309,0.302,0.256,0.314,0.685,0.58,0.429,0.404,0.795,0.605,0.48,0.197,0.332,0.127,0.741,0.145,0.461
2020-05-20,0.265,1.055,0.268,0.258,0.3,0.875,0.175,0.209,0.622,0.318,0.302,0.256,0.316,0.685,0.583,0.429,0.405,0.797,0.607,0.483,0.197,0.332,0.127,0.745,0.145,0.461
2020-05-21,0.265,1.07,0.268,0.262,0.3,0.878,0.176,0.209,0.623,0.321,0.302,0.256,0.316,0.685,0.587,0.432,0.408,0.797,0.609,0.486,0.197,0.331,0.128,0.745,0.145,0.463
2020-05-22,0.267,1.082,0.27,0.263,0.3,0.881,0.177,0.209,0.623,0.337,0.302,0.256,0.316,0.685,0.587,0.435,0.409,0.816,0.613,0.493,0.197,0.331,0.13,0.747,0.145,0.464
2020-05-23,0.267,1.083,0.271,0.265,0.3,0.881,0.179,0.209,0.625,0.337,0.302,0.256,0.318,0.687,0.589,0.435,0.409,0.816,0.613,0.494,0.197,0.331,0.13,0.747,0.145,0.464
2020-05-24,0.267,1.086,0.271,0.265,0.3,0.883,0.179,0.209,0.627,0.337,0.303,0.256,0.319,0.687,0.589,0.435,0.409,0.819,0.614,0.494,0.197,0.331,0.13,0.747,0.145,0.466
2020-05-25,0.267,1.088,0.271,0.267,0.3,0.888,0.18,0.209,0.633,0.339,0.305,0.256,0.32,0.687,0.589,0.435,0.409,0.819,0.614,0.494,0.197,0.331,0.13,0.748,0.144,0.466
2020-05-26,0.27,1.094,0.271,0.269,0.3,0.89,0.183,0.209,0.635,0.34,0.305,0.259,0.321,0.687,0.589,0.436,0.407,0.821,0.613,0.496,0.197,0.331,0.13,0.749,0.144,0.466
