,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15
France,0,0,2,3,3,3,4,5,5,5,6,6,6,6,6,6,6,11,11,11,11,9,9,9,7,7,7,7,7,7,7,7,7,7,2,5,25,44,86,116,176,188,272,362,635,936,1105,1188,1749,2233,2233,3590,4393,4429,6522,7554,8963,10714,12295,13888,13361,17055,18270,20360,22898,25698,30064,30871,34176,39782,42282,41983,44547,46354,46970,48989,49297,50718,51725,53328,54349,79831,82407,85829,85461,95341,94981,92778,96713,97717,98189,93981,94357,94211,94433,94458,97154,98504,94225,93444,92496,93092,93140,92903,92308,94333,93737,94077,94321,94384,94066,93457,92321,91847,91536,91536,90255,89966,90230,90093,89757,89811,89830,89604,89290,88317,87737,90390,90285,91592,91731,91954,90577,15803,90407,90444,90690,90983,90919,90598,90794,90875,91148,91414,91761,91698
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,4,4,5,5,6,6,6,6,6,15,17,20,19,19,19,22,28,32,42,42,44,47,55,55,75,75,100,100,101,112,139,141,141,143,143,143,165,182,206,206,206,245,245,268,298,298,386,502,543,543,666,717,843,912,980,1065,1065,1120,1172,1190,1190,1314,1463,1463,1559,1631,1674,1749,1889,1916,1916,1916,2004,2081,2116,2247,2247,2247,2247,2288,2375,2416,2416,2416,2416,2672
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,7,7,7,7,7,7,1,1,1,1,1,2,3,7,7,7,7,7,8,10,10,10,11,11,12,12,12,10,10,10,10,10,10,11,11,11,7,6,5,5,4,4,4,4,4,5,5,4,4,4,6,6,5,5,5,3,3,5
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,4,4,4,13,15,15,24,24,25,30,33,32,33,37,39,42,48,51,58,61,65,68,69,76,73,83,89,94,108,127,125,136,147,147,158,164,177,179,187,201,228,232,269,288,298,297,303,307,304,309,307,312,331,335,337,333,349,352,367,357,361,355,332,331,325,319,316,310,282,264,272,266,252,258,257,239,226,224,216,207,196,193,183,166,153,158,145,166,158,149,147,144,142,132,122,116,119,124,124,133,135,147,161
Germany,0,0,0,0,0,1,4,4,4,5,8,10,12,12,12,12,13,13,14,14,16,16,15,15,15,15,15,4,4,4,2,2,2,2,3,12,30,32,63,114,143,180,246,466,653,781,1022,1156,1437,1880,2050,3622,4530,5738,7188,9166,12194,15163,19601,21896,24513,28667,29586,33570,37998,43871,48781,52351,52740,54933,58252,61247,65309,68248,69839,72864,69566,64647,63167,65491,64772,64532,62578,59865,58349,56646,53931,53483,52598,50703,48058,45969,44254,39439,40836,39794,38132,36198,34672,32886,30441,29155,28198,26459,24914,20987,20338,21378,20475,19910,19298,18233,17537,16294,15739,15214,14396,13507,14016,13363,12731,12418,12009,11764,11092,10861,10276,10366,10173,9751,9518,9407,8707,8066,7928,7786,7819,7841,7858,7641,7140,6958,6908,6504,6628,6183
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,7,7,11,16,18,22,25,51,89,127,131,134,145,145,125,159,168,169,169,178,178,251,273,369,368,396,554,554,611,611,550,550,726,934,934,934,1046,1046,1135,1135,1384,1384,1467,1467,1845,1845,1922,1922,2407,2407,2779,2770,3671,3863,3863,4184,4611,4870,4832,4150,3952,3952,3952,4292,4340,4340,4504,4608,4653,4706,4766,4857,4857,5161,5193,5087,5087,5273,5378,5658,5669,5871,5958,6217,6398,6398,6486,6887,7091,7652,7652
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,7,7,7,9,31,45,46,73,73,89,98,98,189,217,319,319,374,405,404,470,498,590,659,694,763,830,886,977,1066,1117,1213,1313,1430,1472,1527,1584,1407,1482,1532,1599,1650,1719,1747,1777,1800,1821,1833,1847,1856,1853,1860,1703,1710,1761,1783,1799,1806,1821,1851,1860,1077,1098,1103,1108,1112,1122,1142,1156,1167,1185,1191,1201,1218,1231,1240,1276,1283,1297,1297,1301,1310,1311,1331,1331,1333,1336,1345,1356,1357,1360,1366,1368,1365,1384,1384,1398,1413,1426,1443,1493,1501,1511,1531,1551,1555,1564,1576
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,7,7,9,9,9,9,10,12,12,12,12,12,12,12,14,14,14,14,14,14,14,8,8,8,8,8,9,9,8,11,11,11,9,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,8,11,16,18,19,20,19,20,23,23,23,25,25,26,34,37,44,44,52,57,67,75,106,115,131,132,143,156,172,186,207,229,261,263,284,343,389,415,436,466,466,479,517,556,599,614,632,665,691,719,775,839,916,977,1052,1192,1360,1478,1592,1592,1739,1935,2061,2242,2470,2755,3108,3427,3602,3584,3703,3869,3931,4244,4425,4639,4688,5017,5216,5429,5542,5912,6164,6401,6660,6929,7320,7575,7907
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,4,4,4,4,8,8,16,22,22,30,52,71,106,116,123,139,159,183,197,233,233,302,332,372,388,415,450,487,495,555,591,686,757,781,781,910,964,1031,1159,1188,1174,1174,1251,1303,1248,1287,1335,1333,1421,1421,1471,1504,1563,1563,1509,1509,1517,1320,1320,1474,1473,1525,1582,1582,1582,1582,1581,1634,1653,1653,1686,1596,1578,1456,1370,1237,1217,1275,1293,1293,1316,1296,1246,1273,1287
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,8,8,9,9,15,18,18,18,33,33,36,36,38,38,38,38,43,43,43,46,47,47,47,47,47,49,49,49,54,54,185,185,237,237,237,393,393,449,537,567,613,697,732,791,807,884,884,939,960,990,990,1041,1061,1066,1066,1066,1129,1129,1146,1145,1206,1206,1206,1278,1278,1278,1278,1203,1203,1203,1224,1224,1224,1224,1292,1292,1292,1324
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,6,6,6,18,19,4,4,4,4,7,7,7,10,17,15,19,19,20,19,20,23,23,23,31,31,31,33,41,41,48,48,49,49,50,51,54,54,54,54,51,51,52,51,51,51,51,56,56,56,56,49,49,59,63,67,62,61,63,64,64,70,69,68,60,60,59,63,64,66,61,72,72,73,71,71,71,71,64,64,62,62,58,58,52,54,52,52,48,48
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,7,8,8,8,8,14,14,14,15,15,17,19,19,23,24,26,28,29,31,30,37,37,38,38,40,41,44,54,54,56,65,65,60,61,62,62,62,65,67,67,69,79,79,79,101,117,122,150,176,176,199,235,261,309,415,491,491,553,688,765,817,817,909,1119,1264,1264,1527,1800,2056,2157,2157,2435,2566,2666,2998,3259,3460,3582,3714,3853,3853,4071,4071,4341
Holy See (Vatican City State),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,6,6,6,6,6,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,6,8,9,12,24,24,26,30,30,36,51,67,91,104,129,131,159,202,204,246,240,270,277,284,314,352,361,361,365,374,379,382,391,401,411,406,419,434,441,478,503,503,521,559,599,621,617,818,855,973,1055,1230,1426,1472,1527,1661,1778,1748,1895,1932,2062,2149,2185,2312,2459,2459,2651,2871,2871,3302,3534,3720,3940,4037,4037,4357,4453,4596,4739,4839,4989,5046,5208,5357,5448,5877,6261,6538,6982,7251,7579,7831
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,7,9,9,13,13,19,29,30,37,47,55,70,80,92,109,144,157,195,223,256,298,361,398,439,465,522,554,588,633,639,699,743,818,1001,1110,1193,1229,1268,1253,1311,1400,1431,1477,1518,1598,1648,1655,1723,1723,1743,1805,1842,1891,1882,1931,1982,2029,2054,1993,1979,1966,1921,1904,1917,1905,1881,1809,1775,1688,1654,1662,1673,1677,1674,1659,1615,1576,1565,1554,1436,1432,1311,1300,1201,1203,1209,1229,1207,1210,1183,1166,1183,1182,1143,1121,1095,1051,1029,1025,1028
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,11,26,34,43,50,50,58,68,84,102,133,155,158,180,219,244,324,404,450,531,551,595,679,718,791,847,883,927,935,993,1031,1051,1017,1054,1096,1021,977,954,917,840,804,770,723,642,587,521,460,471,401,351,313,270,237,210,174,158,149,131,117,99,82,72,66,56,39,36,26,18,18,18,15,12,12,10,6,6,6,3,4,3,2,3,3,3,2,3,3,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4
India,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,25,27,28,31,36,40,52,57,68,76,96,98,104,125,139,175,219,303,362,462,486,602,662,794,879,902,1117,1239,1792,2280,2303,2767,3260,4267,4740,5232,5879,6578,7189,7794,8914,9735,10485,11214,11825,12738,14202,14674,15460,16319,17344,18252,19519,20486,21375,22569,23546,24641,26027,27557,29339,32024,33565,35871,37686,39823,41406,43980,45925,47457,49104,51379,52773,53553,55878,57939,60864,63172,66089,69244,73170,76820,80072,82172,85803,89755,85884,89706,93349,97008,101077,106665,111900,116302,120981,126431,129360,133726,133632,141842,141842,145779,149348,153178
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,6,19,25,31,31,63,83,104,121,159,197,275,322,397,437,501,601,701,780,913,994,1107,1217,1311,1417,1508,1671,1751,1911,2090,2313,2494,2761,2924,3229,3509,3778,3954,4221,4472,4796,5082,5307,5423,5677,5870,6168,6520,6845,7032,7180,7484,7596,7804,8160,8347,8471,8769,9002,9226,9465,9675,10079,10361,10393,10679,11123,11445,11617,12025,12237,12495,12808,13372,14046,14413,15145,15497,15717,15870,16321,16802,17204,17185,17552,17662,17951,18129,18205,18308,18806,18837,19246,19739,20228,20659,21145,21553,21612,21973
"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,23,35,49,79,71,170,281,427,749,1144,1968,2278,2667,3710,4009,4238,4530,5020,5687,6687,7891,9159,8624,9548,9792,10837,11413,11466,11419,12022,13306,13964,15315,16715,18821,21212,23278,24827,27051,29084,30597,31954,32555,34887,32525,31678,30781,29801,28495,23725,23318,22735,22065,21679,20897,20472,19850,20070,19023,18540,17492,16702,16021,15485,15114,14733,14268,13909,13509,13237,12942,12799,12991,13155,13645,13905,14313,14567,14820,15179,15677,16514,17140,17897,18308,18746,19774,20311,20958,21528,22076,22090,22483,22560,22566,22851,23234,24060,24389,24821,25563,26543,27478,28714,29281,29178,29159,29121,29045,28842,28909,29217,29477,29916,30336
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,7,13,19,26,32,33,33,37,50,54,51,61,49,48,68,74,80,88,111,109,136,142,146,156,186,214,214,241,296,333,362,432,474,494,516,540,563,621,623,684,681,667,659,645,636,583,556,524,498,495,478,448,449,423,402,423,418,453,470,473,519,565,617,645,651,709,704,758,776,815,838,870,924,918,898,951,1000,987,1013,1063,1117,1114,1152,1254,1285,1535,1571,1658,1827,2056,2307,2644,2874,3078,3378,3644,3817,4231,4988,5876,6834,7539,8045,8774,9650,10406,10886,11481,11392
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,6,18,18,19,21,34,42,42,89,127,127,167,216,285,549,675,777,897,1114,1317,1550,1795,2094,2374,2564,2851,3159,3357,3746,4148,4442,4811,5165,5474,5814,6286,7777,8583,9296,10257,11048,12026,12708,13373,14110,14564,14888,6077,6669,7580,7937,8265,8942,9313,9485,5677,5994,6182,6504,6817,7067,7258,3763,3872,4002,4204,4428,4558,4644,2434,2851,2968,3045,3099,3183,3220,1684,1748,1854,1918,1971,2032,2060,1083,1113,1142,1189,1249,1323,1319,754,780,795,807,824,826,826,838,837,847,892,899,917
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,6,9,9,11,14,19,35,41,59,59,71,75,96,122,151,209,214,239,293,416,515,675,845,1033,1182,2306,2617,2944,3518,4100,4518,5114,5825,6483,6985,7380,7904,8262,8413,8530,8871,9130,9301,9415,9615,9728,9808,9798,9705,9645,9565,9487,9251,9094,9000,8861,8664,8511,8151,7772,7386,7163,6720,6363,6227,5947,5586,5434,5268,4962,4831,4795,4405,4186,4052,3793,3736,3485,3403,3114,2946,2884,2680,2496,2343,2285,2146,2019,1942,1909,1927,1917,1974,2006,2055,2103,2191,2245,2415,2474,2632,2722,2888,3019,3207,3315,3380,3520
Italy,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,19,59,150,221,311,438,593,821,1053,1577,1835,2263,2706,3296,3916,5061,6387,7985,8794,10590,10590,14955,17750,20603,23073,26062,28710,33190,38549,42681,46638,50826,54030,57521,62013,66414,70065,73880,75528,77635,80572,83049,85388,88274,91246,93187,94067,95262,96877,98273,100269,102253,103616,104291,105418,106607,106962,107771,108257,108237,107709,107699,106848,106527,105847,106103,105813,105205,104657,101551,100943,100704,100179,99980,98467,91528,89624,87961,84842,83324,82488,81266,78457,76440,72070,70187,68351,66553,65129,62752,60960,59322,57752,56594,55300,52942,50966,47986,46175,43691,42075,41367,39893,39297,38429,36976,35877,35262,34730,32872,31710,30637,28997,27485,26274,25909
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,8,10,8,10,11,12,13,13,16,16,18,23,23,23,27,29,33,33,39,42,42,43,47,47,52,49,47,46,48,52,50,50,99,117,113,133,141,191,190,200,223,253,270,315,328,328,360,385,393,422,422,424,408,412,421,419,419,403,406,398,387,382,381,387,384,380,366,349,344,344,341,332,309,288,281,276,277,282,266,257,225,220,213,200,182,183,184,190,188,193,187,185,187,181
Japan,2,2,2,2,3,3,6,6,10,14,19,19,19,21,21,21,24,24,25,22,17,19,18,19,30,46,53,60,65,75,82,99,124,136,147,165,188,202,204,218,236,244,282,311,368,379,420,425,470,506,505,564,633,699,668,705,716,745,739,740,825,851,865,952,981,1047,1237,1388,1388,1473,1649,1961,2040,2548,2548,2994,3222,3542,3941,4746,5144,5878,6463,6703,7101,7547,8662,9005,9402,9402,9633,9875,10546,10954,11215,11260,11869,11443,11114,11198,10875,10892,10409,10386,10201,10201,9982,9839,9150,7026,6921,6780,6451,5555,5152,5174,4388,3992,4035,4035,2975,2712,2484,2317,2139,1967,1820,1621,1573,1555,1511,1425,1350,1260,1215,1117,1158,1132,1097,1050,1007,1032,964,908,928,943
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,7,16,33,51,68,84,84,111,126,153,171,211,216,227,238,237,239,237,249,247,244,230,217,209,202,204,195,197,181,169,155,144,136,135,137,134,136,124,113,112,108,105,103,100,93,87,83,87,84,85,86,87,87,104,114,126,142,163,177,181,184,186,194,196,207,223,217,218,230,225,228,223,123,125,222,214,218,208,202,197,187,190,204,200,192,195,179,191,211,235,266,270,278
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,10,33,35,44,46,53,60,62,72,81,108,146,211,263,280,317,351,405,429,490,536,610,640,666,713,738,774,842,941,1015,1039,1108,1182,1221,1259,1386,1487,1601,1709,1853,1930,2010,2090,2228,2294,2511,2650,2847,2809,2847,2897,2984,3030,3172,3168,3118,3101,3024,2977,3008,2948,2836,2867,3247,3118,3200,3356,3788,3670,4144,4419,4319,4499,4639,4838,5124,5414,5680,5586,5779,5409,5357,5323,5262,5427,4998,4907,5212,4973,5336,5231,5723
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,7,7,7,15,16,25,27,29,29,36,40,48,57,77,103,114,118,134,148,159,164,165,160,160,164,159,166,162,170,182,190,189,198,208,215,217,228,231,235,235,236,240,235,240,261,274,293,329,366,381,390,412,401,416,420,416,432,452,479,524,526,555,613,684,731,762,780,832,891,1008,1139,1245,1361,1420,1470,1523,1589,1670,1752,1811,1931,1938,2028,1957,2031,2045,2136,2238,2337
Korea (South),1,1,2,2,3,4,4,4,4,11,12,15,15,16,19,23,23,23,22,24,25,21,21,21,19,20,20,19,19,87,186,415,578,807,945,1227,1731,2302,3107,3689,4277,5128,5545,6012,6416,6862,7146,7307,7212,7407,7470,7403,7504,7577,7024,6832,6789,6934,7018,7157,5941,5941,5410,5281,4966,4665,4523,4398,4275,4216,4155,3979,3867,3654,3591,3500,3445,3408,3246,3125,3026,2930,2873,2808,2750,2627,2576,2484,2385,2324,2233,2179,1967,1843,1769,1731,1654,1593,1459,1454,1407,1360,1332,1267,1218,1135,1082,1016,1008,1021,1008,1008,969,937,924,900,898,877,781,723,716,705,711,713,681,701,735,770,774,793,810,823,850,857,889,915,951,978,989,1015,1017,1057,1083,1090,1114,1117
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,26,43,45,45,45,56,56,56,58,58,61,63,63,68,70,75,75,99,107,114,121,127,130,141,149,161,162,152,152,159,168,171,188,194,216,237,261,335,385,456,561,637,743,798,869,1020,1091,1148,1176,1196,1296,1395,1465,1603,1619,1657,1792,1887,1986,2217,2249,2254,2241,2327,2459,2745,2883,3169,3291,3732,4028,4142,4695,4952,5901,6314,7101,7683,8436,9124,9852,10645,11234,11962,12559,13275,13911,14569,15029,15181,15097,15146,15229,15717,15831,15445,14643,14142,13379,12462,12123,11595,11379,10999,10705,10260,10016,9619,9295,8865,8602
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,14,14,16,42,44,44,58,58,84,91,104,108,111,123,134,137,179,191,233,241,258,290,318,347,354,366,370,370,371,416,360,367,351,321,312,312,304,292,284,284,276,244,234,221,245,232,245,246,244,261,315,316,316,306,335,352,320,320,375,331,346,376,397,394,409,425,437,461,512,558,593,562,620,609,586,587,574,592,560,564,548,495,472,472,458,467,597
Lao PDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,6,8,8,8,9,10,10,10,10,11,12,14,15,16,16,18,19,19,18,18,17,17,17,17,17,17,15,15,15,12,12,12,12,12,11,11,10,10,10,10,9,10,10,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,1,1,1,1,1,1,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,6,7,9,9,16,25,29,33,48,70,85,110,123,138,179,196,220,243,279,304,346,375,397,445,427,491,507,531,525,530,559,570,593,611,630,634,636,617,613,589,619,634,646,606,617,634,505,525,533,538,556,486,495,506,507,515,532,531,419,427,446,448,457,464,305,305,316,289,316,327,328,297,301,309,296,312,313,315,290,293,296,295,296,297,297,287,295,297,279,280,282,281,269,272,250,251,224,224,224
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,4,10,13,13,12,15,21,21,31,31,39,57,57,73,89,106,106,114,127,149,155,179,236,255,306,307,339,356,374,398,400,421,422,432,441,449,455,462,467,495,496,513,522,530,532,540,552,556,561,552,550,553,548,547,526,534,537,538,541,548,547,551,513,511,512,515,510,519,539,547,549,585,599,610,616,624,619,629,638,654,677,684,335,397,404,400,405,425,443,443,441,457,481,491,496,505,547,516,523,533,541,543,526,526,538,542,546,557
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,6,6,7,6,7,8,8,24,24,29,40,42,49,49,49,49,62,62,76,84,86,73,73,84,84,87,87,80,80,80,89,88,82,90,92,83,90,100,100,100,106,106,92,90,91,87,85,84,85,87,86,89,93,100,98,96,95,98,100,105,104,110,116,119,118,128,130,135,145,153,166,173,179,200,207,244
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,8,8,9,10,10,10,17,17,17,18,12,15,15,15,15,16,25,38,37,37,37,39,35,35,43,43,41,41,41,41,41,41,40,42,38,38,37,37,37,37,37,37,37,33,33,33,33,33,34,27,27,30,31,33,31,33,33,32,34,55,59,72,75,99,111,125,139,152,182,199,199,270,296,314,329,344,348,381,387
