Confirmed,Deaths,Active,Recovered,Dates
470262,21803,335259,113200,2020-03-25
533031,24814,386664,121553,2020-03-26
597393,28330,438745,130318,2020-03-27
665686,31846,495022,138818,2020-03-28
725851,35375,541997,148479,2020-03-29
789174,39507,585704,163963,2020-03-30
865421,44327,643663,177431,2020-03-31
941477,49769,699134,192574,2020-04-01
1024021,55941,758436,209644,2020-04-02
1107592,61976,820439,225177,2020-04-03
1188316,68184,874599,245533,2020-04-04
1264772,73320,932059,259393,2020-04-05
1337269,79091,982282,275896,2020-04-06
1413589,87022,1027132,299435,2020-04-07
1498620,93746,1076832,328042,2020-04-08
1585471,101370,1130745,353356,2020-04-09
1679267,108655,1195135,375477,2020-04-10
1758620,114785,1242344,401491,2020-04-11
1858742,120552,1317087,421103,2020-04-12
1930151,126327,1355788,448036,2020-04-13
2001895,133324,1395242,473329,2020-04-14
2082994,141650,1431479,509865,2020-04-15
2181960,149189,1491823,540948,2020-04-16
2271816,158143,1546560,567113,2020-04-17
2350974,164598,1595305,591071,2020-04-18
2435806,169321,1643822,622663,2020-04-19
2508784,174808,1689312,644664,2020-04-20
2587856,182130,1726476,679250,2020-04-21
2665683,188975,1767319,709389,2020-04-22
2751125,195891,1816881,738353,2020-04-23
2840073,202384,1848738,788951,2020-04-24
2926790,208741,1901280,816769,2020-04-25
3002345,212570,1944435,845340,2020-04-26
3072617,217308,1982277,873032,2020-04-27
3147619,223765,2017556,906298,2020-04-28
3224431,230803,2045848,947780,2020-04-29
3310589,236650,2060713,1013226,2020-04-30
3399397,242139,2105488,1051770,2020-05-01
3484546,247475,2144604,1092467,2020-05-02
3566510,251248,2190671,1124591,2020-05-03
3644289,255523,2226687,1162079,2020-05-04
3725183,261412,2265584,1198187,2020-05-05
3819312,268180,2306364,1244768,2020-05-06
3911196,274091,2353009,1284096,2020-05-07
4005015,279578,2404032,1321405,2020-05-08
4092204,284117,2433108,1374979,2020-05-09
4171067,287683,2475055,1408329,2020-05-10
4248043,291428,2501057,1455558,2020-05-11
4333443,297225,2543455,1492763,2020-05-12
4419863,302605,2569362,1547896,2020-05-13
4516221,307993,2620986,1587242,2020-05-14
4617583,313328,2667839,1636416,2020-05-15
4710551,317564,2700441,1692546,2020-05-16
4791229,321071,2736846,1733312,2020-05-17
4880631,324424,2769983,1786224,2020-05-18
4977262,329296,2959998,1687968,2020-05-19
5077324,334248,2846261,1896815,2020-05-20
5184443,339174,2897181,1948088,2020-05-21
5294041,344503,2893546,2055992,2020-05-22
5394790,348546,2934710,2111534,2020-05-23
5492996,351576,2973508,2167912,2020-05-24
5581457,352870,2997500,2231087,2020-05-25
5676993,357189,3033499,2286305,2020-05-26
5780056,362488,3068131,2349437,2020-05-27
5898199,367273,3115617,2415309,2020-05-28
6014461,371913,3149664,2492884,2020-05-29
6149975,376268,3209665,2564042,2020-05-30
6258702,379392,3238632,2640678,2020-05-31
6358757,382946,3280453,2695358,2020-06-01
6471477,387712,3354889,2728876,2020-06-02
6524625,393509,3326785,2804331,2020-06-03
6727533,398836,3459385,2869312,2020-06-04
6829314,402636,3681137,2745541,2020-06-05
6986967,407551,3494234,3085182,2020-06-06
7105522,410590,3554663,3140269,2020-06-07
7215417,414415,3508245,3292757,2020-06-08
7339755,419389,3545349,3375017,2020-06-09
7458238,424222,3579860,3454156,2020-06-10
7612919,429512,3643362,3540045,2020-06-11
7731676,433502,3685548,3612626,2020-06-12
7866274,437902,3730719,3697653,2020-06-13
8000607,441267,3790279,3769061,2020-06-14
8134503,445110,3832706,3856687,2020-06-15
8274306,451939,3867849,3954518,2020-06-16
8450720,457254,3920162,4073304,2020-06-17
8590132,462325,3973359,4154448,2020-06-18
8764728,468396,4051206,4245126,2020-06-19
8893835,472914,4055640,4365281,2020-06-20
9054785,476796,4144012,4433977,2020-06-21
9201340,480648,4195010,4525682,2020-06-22
9366512,486079,4250693,4629740,2020-06-23
9557039,0,9490506,66533,2020-06-24
9713571,497862,4377439,4838270,2020-06-25
