Confirmed,Deaths,Active,Recovered,Dates
467454,21796,332472,113186,2020-03-25
529437,24800,383081,121556,2020-03-26
593488,28314,434850,130324,2020-03-27
660845,31993,490038,138814,2020-03-28
719992,35461,536256,148275,2020-03-29
782883,39623,579548,163712,2020-03-30
857626,44467,635961,177198,2020-03-31
933195,50013,690893,192289,2020-04-01
1014009,56320,748375,209314,2020-04-02
1096484,62300,809423,224761,2020-04-03
1176726,68149,863402,245175,2020-04-04
1250402,73164,918224,259014,2020-04-05
1321882,79001,967235,275646,2020-04-06
1396816,86908,1010874,299034,2020-04-07
1480769,93637,1059382,327750,2020-04-08
1566702,101252,1112364,353086,2020-04-09
1658953,108517,1175531,374905,2020-04-10
1737103,114572,1221379,401152,2020-04-11
1835899,120303,1295041,420555,2020-04-12
1905974,126056,1332197,447721,2020-04-13
1976599,132957,1370848,472794,2020-04-14
2056863,141256,1406146,509461,2020-04-15
2152857,148553,1464020,540284,2020-04-16
2241816,157441,1517986,566389,2020-04-17
2315890,163912,1561666,590312,2020-04-18
2398730,168490,1608274,621966,2020-04-19
2471543,173913,1653662,643968,2020-04-20
2546199,181064,1686340,678795,2020-04-21
2622037,187821,1724993,709223,2020-04-22
2710914,194690,1778211,738013,2020-04-23
2798343,201371,1808926,788046,2020-04-24
2883699,206945,1860929,815825,2020-04-25
2957632,210824,1902380,844428,2020-04-26
3026500,215462,1938807,872231,2020-04-27
3100357,221915,1972945,905497,2020-04-28
3175875,228679,1999531,947665,2020-04-29
3260729,234636,2013457,1012636,2020-04-30
3349193,239808,2058518,1050867,2020-05-01
3431328,245126,2094418,1091784,2020-05-02
3510435,248568,2137760,1124107,2020-05-03
3587152,252723,2176258,1158171,2020-05-04
3667913,258602,2214535,1194776,2020-05-05
3760114,265256,2254164,1240694,2020-05-06
3851173,270673,2300309,1280191,2020-05-07
3944301,276236,2351352,1316713,2020-05-08
4029655,280499,2378894,1370262,2020-05-09
4107548,284069,2419629,1403850,2020-05-10
4184116,287531,2445741,1450844,2020-05-11
4267527,293074,2486574,1487879,2020-05-12
4352489,298305,2510463,1543721,2020-05-13
4450404,303576,2563372,1583456,2020-05-14
4547827,308789,2607593,1631445,2020-05-15
4641005,312942,2640027,1688036,2020-05-16
4721246,316281,2676043,1728922,2020-05-17
4809654,319568,2708266,1781820,2020-05-18
4905483,324359,2747139,1833985,2020-05-19
5005060,329220,2782942,1892898,2020-05-20
5111669,334012,2833494,1944163,2020-05-21
5219892,339298,2827780,2052814,2020-05-22
5320325,343289,2869251,2107785,2020-05-23
5416681,346111,2907345,2163225,2020-05-24
5503672,347293,2929431,2226948,2020-05-25
5598599,351504,2964933,2282162,2020-05-26
5701412,356691,2999166,2345555,2020-05-27
5819531,361376,3045743,2412412,2020-05-28
5941232,366060,3085433,2489739,2020-05-29
6070162,370195,3139756,2560211,2020-05-30
6178138,373062,3168557,2636519,2020-05-31
6274524,376592,3206518,2691414,2020-06-01
6387264,381291,3210436,2795537,2020-06-02
6515128,386997,3253452,2874679,2020-06-03
6642401,392145,3305548,2944708,2020-06-04
6775587,396967,3364756,3013864,2020-06-05
6902159,400785,3415308,3086066,2020-06-06
7015208,403534,3470515,3141159,2020-06-07
7118766,407290,3418719,3292757,2020-06-08
7242337,412145,3455175,3375017,2020-06-09
7375938,417350,3504432,3454156,2020-06-10
7514391,422134,3552212,3540045,2020-06-11
7643865,426429,3597675,3619761,2020-06-12
7778502,430679,3642121,3705702,2020-06-13
7912339,434025,3701834,3776480,2020-06-14
8034066,437529,3739850,3856687,2020-06-15
8173847,444318,3775011,3954518,2020-06-16
8349857,449589,3826964,4073304,2020-06-17
8488930,454598,3879884,4154448,2020-06-18
8670230,460867,3959907,4249456,2020-06-19
8829123,465135,3998707,4365281,2020-06-20
8960625,469192,4057456,4433977,2020-06-21
9098550,472763,4100105,4525682,2020-06-22
9263936,478187,4156009,4629740,2020-06-23
9431450,483361,4202622,4745467,2020-06-24
9609830,489912,4281648,4838270,2020-06-25
9801573,494757,4361910,4944906,2020-06-26
9979644,499275,4429156,5051213,2020-06-27
10145368,502434,4502686,5140248,2020-06-28
10301447,506060,4560225,5235162,2020-06-29
10476102,511252,4612296,5352554,2020-06-30
10693160,516237,4708440,5468483,2020-07-01
10869018,521282,4594381,5753355,2020-07-02
11074157,525105,4685856,5863196,2020-07-03
11266588,530738,4676936,6058914,2020-07-04
